HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Baltimore, MD",6931,844,1887,4409,303,574,2015003,379769,1209002,251357,53927,16757,888%,380%,242%,8379,444%,190%,121%,5464,290%,124%,79%,3595,1186%,626%,426%,1798,593%,313%,213%,1172,387%,204%,139%
"Bangor, ME",1094,100,400,747,28,64,318554,77904,191132,40756,9009,2717,679%,364%,248%,1359,340%,182%,124%,886,222%,119%,81%,601,2146%,939%,601%,300,1071%,469%,300%,196,700%,306%,196%
"Baton Rouge, LA",2898,249,1159,2028,119,184,746856,127072,448114,92385,19617,6159,531%,304%,213%,3080,266%,152%,106%,2008,173%,99%,69%,1308,1099%,711%,525%,654,550%,355%,263%,426,358%,232%,171%
"Beaumont, TX",908,114,421,665,43,79,356372,70621,213823,44652,9631,2977,707%,448%,328%,1488,353%,224%,164%,971,231%,146%,107%,642,1493%,813%,563%,321,747%,406%,282%,209,486%,265%,183%
"Bend, OR",415,38,182,298,17,27,189876,47299,113926,24342,5393,1623,892%,545%,391%,811,446%,272%,195%,529,291%,178%,127%,360,2118%,1333%,947%,180,1059%,667%,474%,117,688%,433%,308%
"Billings, MT",2432,148,931,1681,65,106,476520,97688,285912,59891,12966,3993,429%,238%,164%,1996,214%,119%,82%,1302,140%,77%,54%,864,1329%,815%,584%,432,665%,408%,292%,282,434%,266%,191%
"Binghamton, NY",1005,54,365,685,17,35,286154,67043,171692,36443,8013,2430,666%,355%,242%,1215,333%,177%,121%,792,217%,116%,79%,534,3141%,1526%,989%,267,1571%,763%,494%,174,1024%,497%,322%
"Birmingham, AL",7297,991,2756,5027,342,666,1774690,364610,1064814,223097,48312,14873,540%,296%,204%,7437,270%,148%,102%,4850,176%,96%,66%,3221,942%,484%,325%,1610,471%,242%,162%,1050,307%,158%,106%
"Bismarck, ND",970,80,422,696,43,62,182581,38811,109549,23027,5006,1535,364%,221%,158%,768,182%,110%,79%,501,119%,72%,52%,334,777%,539%,418%,167,388%,269%,209%,109,253%,176%,136%
"Bloomington, IL",394,35,201,298,10,23,160796,25937,96478,19809,4185,1321,657%,443%,335%,660,328%,221%,168%,431,214%,145%,109%,279,2790%,1213%,797%,140,1400%,609%,400%,91,910%,396%,260%
"Blue Island, IL",2053,308,583,1318,118,213,670968,134483,402581,84156,18174,5610,962%,426%,273%,2805,481%,213%,137%,1829,314%,139%,89%,1212,1027%,569%,394%,606,514%,285%,197%,395,335%,185%,128%
"Boise, ID",1773,186,848,1310,95,141,701166,134953,420700,87625,18841,5842,689%,446%,329%,2921,344%,223%,165%,1905,225%,145%,107%,1256,1322%,891%,675%,628,661%,445%,338%,410,432%,291%,220%
"Boston, MA",10239,1157,2548,6393,438,798,4022208,782014,2413325,503107,108294,33540,1316%,525%,328%,16770,658%,262%,164%,10937,429%,171%,107%,7220,1648%,905%,624%,3610,824%,452%,312%,2354,537%,295%,203%
"Boulder, CO",640,90,297,468,43,67,267487,42093,160492,32893,6933,2193,738%,469%,343%,1096,369%,234%,171%,715,241%,153%,112%,462,1074%,690%,513%,231,537%,345%,257%,151,351%,225%,168%
"Bradenton, FL",822,104,342,582,49,76,266378,82842,159827,35089,8013,2339,684%,402%,285%,1170,342%,201%,142%,763,223%,131%,93%,534,1090%,703%,513%,267,545%,351%,257%,174,355%,229%,167%
"Bridgeport, CT",1354,132,370,862,65,99,539133,102171,323480,67285,14444,4486,1212%,520%,331%,2243,606%,260%,166%,1463,395%,170%,108%,963,1482%,973%,730%,481,740%,486%,364%,314,483%,317%,238%
"Bronx, NY",4012,282,807,2410,115,199,1094741,170439,656845,134516,28327,8968,1111%,372%,224%,4484,556%,186%,112%,2924,362%,121%,73%,1888,1642%,949%,670%,944,821%,474%,335%,616,536%,310%,218%
"Bryan, TX",579,64,317,448,34,49,230741,32271,138445,28144,5872,1876,592%,419%,324%,938,296%,209%,162%,612,193%,137%,106%,391,1150%,798%,611%,196,576%,400%,306%,128,376%,261%,200%
"Buffalo, NY",4713,323,1228,2971,95,209,1090373,234541,654224,137671,29968,9178,747%,309%,195%,4589,374%,154%,97%,2993,244%,101%,64%,1998,2103%,956%,619%,999,1052%,478%,309%,651,685%,311%,202%
"Burlington, VT",1743,117,587,1165,65,91,522720,104104,313632,65524,14141,4368,744%,375%,251%,2184,372%,187%,125%,1424,243%,122%,82%,943,1451%,1036%,806%,471,725%,518%,403%,307,472%,337%,262%
"Camden, NJ",6527,701,2294,4410,293,497,2208721,489214,1325233,279679,61086,18645,813%,423%,286%,9323,406%,211%,143%,6080,265%,138%,93%,4072,1390%,819%,581%,2036,695%,410%,290%,1328,453%,267%,189%
"Canton, OH",1441,209,706,1073,97,153,495349,113936,297209,62964,13814,4198,595%,391%,291%,2099,297%,196%,146%,1369,194%,128%,95%,921,949%,602%,441%,460,474%,301%,220%,300,309%,196%,144%
"Cape Girardeau, MO",859,80,398,629,43,62,202898,45230,121739,25709,5619,1714,431%,272%,200%,857,215%,136%,100%,559,140%,89%,65%,375,872%,605%,469%,187,435%,302%,234%,122,284%,197%,153%
"Casper, WY",633,32,378,505,20,26,152884,31930,91730,19249,4176,1283,339%,254%,203%,642,170%,127%,101%,418,111%,83%,66%,278,1390%,1069%,869%,139,695%,535%,434%,91,455%,350%,284%
"Cedar Rapids, IA",799,44,364,581,22,33,234872,48228,140923,29524,6393,1968,541%,339%,246%,984,270%,169%,123%,642,176%,110%,80%,426,1936%,1291%,968%,213,968%,645%,484%,139,632%,421%,316%
"Charleston, SC",3013,329,975,1994,101,215,914407,196315,548644,115432,25121,7695,789%,386%,255%,3848,395%,193%,128%,2509,257%,126%,83%,1675,1658%,779%,509%,837,829%,389%,254%,546,541%,254%,166%
"Charleston, WV",2620,284,1167,1894,97,190,650209,155752,390125,83002,18300,5533,474%,292%,211%,2767,237%,146%,106%,1804,155%,95%,69%,1220,1258%,642%,430%,610,629%,321%,215%,398,410%,209%,140%
"Charlotte, NC",4873,770,1465,3169,249,510,2024238,353589,1214543,250918,53418,16728,1142%,528%,343%,8364,571%,264%,172%,5455,372%,172%,112%,3561,1430%,698%,462%,1781,715%,349%,231%,1161,466%,228%,151%
"Charlottesville, VA",1326,155,433,879,35,95,477802,100652,286681,60207,13074,4014,927%,457%,303%,2007,464%,228%,151%,1309,302%,149%,99%,872,2491%,918%,563%,436,1246%,459%,281%,284,811%,299%,183%
"Chattanooga, TN",1928,247,651,1290,59,153,567490,121347,340494,71611,15577,4774,733%,370%,248%,2387,367%,185%,124%,1557,239%,121%,81%,1038,1759%,678%,420%,519,880%,339%,210%,339,575%,222%,137%
"Chicago, IL",7764,912,3161,5462,312,612,2045072,306266,1227043,250595,52588,16706,529%,306%,215%,8353,264%,153%,108%,5448,172%,100%,70%,3506,1124%,573%,384%,1753,562%,286%,192%,1143,366%,187%,125%
"Chico, CA",537,51,153,345,23,37,239882,53947,143929,30421,6656,2028,1325%,588%,378%,1014,663%,294%,189%,661,432%,192%,123%,444,1930%,1200%,871%,222,965%,600%,435%,145,630%,392%,284%
"Cincinnati, OH",3808,567,1537,2673,185,376,1293436,245509,776062,161446,34663,10763,700%,403%,283%,5382,350%,201%,141%,3510,228%,131%,92%,2311,1249%,615%,408%,1155,624%,307%,204%,754,408%,201%,133%
"Clearwater, FL",1571,160,719,1145,44,102,434821,131578,260893,57070,12981,3805,529%,332%,242%,1902,265%,166%,121%,1241,173%,108%,79%,865,1966%,848%,541%,433,984%,425%,271%,282,641%,276%,176%
"Cleveland, OH",7233,885,2631,4932,306,595,1602896,353619,961738,202887,44293,13526,514%,274%,187%,6763,257%,137%,94%,4411,168%,89%,61%,2953,965%,496%,334%,1476,482%,248%,167%,963,315%,162%,109%
"Colorado Springs, CO",1295,149,555,925,62,106,673350,119939,404010,83598,17832,5573,1004%,602%,430%,2787,502%,301%,215%,1817,327%,196%,140%,1189,1918%,1122%,798%,594,958%,560%,399%,388,626%,366%,260%
"Columbia, MO",1883,199,901,1392,77,138,557924,115795,334754,70204,15220,4680,519%,336%,249%,2340,260%,168%,124%,1526,169%,110%,81%,1015,1318%,736%,510%,507,658%,367%,255%,331,430%,240%,166%
"Columbia, SC",3026,398,1053,2040,151,275,975665,189632,585399,122035,26267,8136,773%,399%,269%,4068,386%,199%,134%,2653,252%,130%,88%,1751,1160%,637%,440%,876,580%,319%,220%,571,378%,208%,143%
"Columbus, GA",1105,75,547,826,33,54,280815,48222,168489,34762,7388,2317,424%,281%,210%,1159,212%,140%,105%,756,138%,92%,68%,493,1494%,913%,657%,246,745%,456%,328%,161,488%,298%,215%
"Columbus, OH",6449,679,2792,4620,235,457,2405737,441233,1443442,299404,64055,19960,715%,432%,310%,9980,357%,216%,155%,6509,233%,141%,101%,4270,1817%,934%,629%,2135,909%,467%,314%,1392,592%,305%,205%
"Contra Costa County, CA",1727,203,675,1201,81,142,844608,159096,506765,105354,22602,7024,1041%,585%,407%,3512,520%,292%,203%,2290,339%,191%,133%,1507,1860%,1061%,742%,753,930%,530%,371%,491,606%,346%,242%
"Corpus Christi, TX",1135,167,357,746,38,102,439951,83055,263971,54889,11778,3659,1025%,490%,322%,1830,513%,245%,161%,1193,334%,160%,105%,785,2066%,770%,470%,393,1034%,385%,235%,256,674%,251%,153%
"Covington, KY",828,93,280,554,39,66,327040,57022,196224,40533,8628,2702,965%,488%,326%,1351,483%,244%,163%,881,315%,159%,106%,575,1474%,871%,618%,288,738%,436%,310%,188,482%,285%,202%
"Dallas, TX",10585,1292,3679,7132,450,871,3918830,583050,2351298,479980,100668,31999,870%,449%,302%,15999,435%,224%,151%,10434,284%,146%,99%,6711,1491%,770%,519%,3356,746%,385%,260%,2188,486%,251%,169%
"Danville, PA",1664,171,510,1087,33,102,481423,99782,288854,60570,13129,4038,792%,371%,243%,2019,396%,186%,121%,1317,258%,121%,79%,875,2652%,858%,512%,438,1327%,429%,256%,285,864%,279%,167%
"Davenport, IA",1614,139,699,1157,66,102,379562,86153,227737,48181,10554,3212,460%,278%,199%,1606,230%,139%,100%,1047,150%,90%,65%,704,1067%,690%,506%,352,533%,345%,253%,229,347%,225%,165%
"Dayton, OH",2070,294,749,1410,89,192,825712,177147,495427,104229,22681,6949,928%,493%,336%,3474,464%,246%,168%,2266,303%,161%,109%,1512,1699%,788%,514%,756,849%,394%,257%,493,554%,257%,168%
"Dearborn, MI",1439,188,462,951,95,142,382586,75636,229552,47926,10335,3195,692%,336%,222%,1598,346%,168%,111%,1042,226%,110%,72%,689,725%,485%,366%,344,362%,242%,183%,225,237%,158%,120%
"Denver, CO",5593,843,2269,3931,325,584,2380353,379848,1428212,293012,61843,19534,861%,497%,349%,9767,430%,248%,175%,6370,281%,162%,114%,4123,1269%,706%,489%,2061,634%,353%,244%,1344,414%,230%,159%
"Des Moines, IA",2760,173,1193,1977,76,125,869785,168710,521871,108772,23407,7251,608%,367%,263%,3626,304%,183%,131%,2365,198%,120%,86%,1560,2053%,1248%,902%,780,1026%,624%,451%,509,670%,407%,294%
"Detroit, MI",4123,509,1333,2728,163,336,1315527,254755,789316,164491,35392,10966,823%,402%,266%,5483,411%,201%,133%,3576,268%,131%,87%,2359,1447%,702%,463%,1180,724%,351%,232%,769,472%,229%,151%
"Dothan, AL",1335,108,504,919,33,71,290096,65608,174058,36811,8060,2454,487%,267%,184%,1227,243%,134%,92%,800,159%,87%,60%,537,1627%,756%,497%,269,815%,379%,249%,175,530%,246%,162%
"Dubuque, IA",518,18,228,373,8,13,125779,28314,75467,15953,3491,1064,467%,285%,205%,532,233%,143%,103%,347,152%,93%,67%,233,2913%,1792%,1294%,116,1450%,892%,644%,76,950%,585%,422%
"Duluth, MN",1319,217,508,914,73,145,274471,63578,164683,34914,7666,2328,458%,255%,176%,1164,229%,127%,88%,759,149%,83%,58%,511,700%,352%,235%,256,351%,177%,118%,167,229%,115%,77%
"Durham, NC",4505,790,1125,2815,241,516,1097252,224839,658351,137903,29854,9194,817%,327%,204%,4597,409%,163%,102%,2998,266%,107%,67%,1990,826%,386%,252%,995,413%,193%,126%,649,269%,126%,82%
"East Long Island, NY",9897,928,1230,5564,235,582,3811249,751403,2286749,477312,102896,31821,2587%,572%,322%,15910,1293%,286%,161%,10376,844%,186%,105%,6860,2919%,1179%,739%,3430,1460%,589%,370%,2237,952%,384%,241%
"El Paso, TX",2086,274,753,1420,51,162,839182,146112,503509,103995,22133,6933,921%,488%,332%,3466,460%,244%,166%,2261,300%,159%,108%,1476,2894%,911%,539%,738,1447%,456%,269%,481,943%,297%,176%
"Elgin, IL",1239,142,475,857,67,104,610597,100811,366358,75354,15955,5024,1058%,586%,405%,2512,529%,293%,203%,1638,345%,191%,132%,1064,1588%,1023%,749%,532,794%,512%,375%,347,518%,334%,244%
"Elmira, NY",1036,94,361,699,14,54,255069,58415,153041,32407,7106,2160,598%,309%,208%,1080,299%,155%,104%,704,195%,101%,68%,474,3386%,878%,504%,237,1693%,439%,252%,154,1100%,285%,164%
"Elyria, OH",453,63,214,333,21,42,200261,44042,120157,25340,5530,1689,789%,507%,373%,845,395%,254%,187%,551,257%,165%,122%,369,1757%,879%,586%,184,876%,438%,292%,120,571%,286%,190%
"Erie, PA",1904,184,706,1305,88,136,561138,130069,336683,71384,15676,4759,674%,365%,250%,2379,337%,182%,125%,1552,220%,119%,82%,1045,1188%,768%,568%,523,594%,385%,284%,341,388%,251%,185%
